latitude,longitude,acq_date,frp
38.76965,-122.65853,2025-02-28,0.28
38.90868,-122.07202,2025-02-28,2.4
38.94139,-122.03875,2025-02-28,1.18
38.94218,-122.04331,2025-02-28,1.18
39.08296,-121.16325,2025-02-28,0.6
39.20806,-122.30083,2025-02-28,0.64
39.21138,-122.2999,2025-02-28,0.64
39.61903,-119.26393,2025-02-28,1.31
39.6506,-120.6293,2025-02-28,0.8
39.82795,-121.701,2025-02-28,0.77
40.46545,-123.63026,2025-02-28,0.36
40.47639,-123.67895,2025-02-28,0.51
40.5114,-123.77297,2025-02-28,0.72
40.55186,-123.8137,2025-02-28,1.22
32.47923,-116.86845,2025-02-28,0.5
32.59775,-117.01005,2025-02-28,1.0
32.60694,-115.02065,2025-02-28,0.87
32.63237,-115.55806,2025-02-28,0.67
33.71663,-117.70894,2025-02-28,0.7
33.79319,-117.47539,2025-02-28,0.83
33.81789,-118.24377,2025-02-28,0.98
34.04016,-117.82104,2025-02-28,0.49
34.29237,-118.80203,2025-02-28,1.04
34.33289,-118.52039,2025-02-28,0.5
34.33698,-118.51917,2025-02-28,0.5
34.42899,-118.64476,2025-02-28,1.37
34.48107,-118.89193,2025-02-28,0.35
34.81924,-118.75098,2025-02-28,0.62
36.75011,-118.98058,2025-02-28,1.26
37.17986,-119.70318,2025-02-28,0.66
37.26204,-119.60351,2025-02-28,0.53
37.45545,-121.9322,2025-02-28,0.45
37.65027,-120.62862,2025-02-28,2.15
37.77589,-120.73113,2025-02-28,1.04
37.77683,-120.73611,2025-02-28,1.04
37.78286,-120.72903,2025-02-28,0.97
37.88258,-121.18719,2025-02-28,0.82
38.07011,-122.13653,2025-02-28,0.75
38.0709,-122.14112,2025-02-28,1.07
38.59015,-122.43015,2025-02-28,0.63
38.94498,-122.04055,2025-02-28,3.6
39.40765,-118.75028,2025-02-28,3.01
39.49031,-122.16051,2025-02-28,3.32
39.49321,-122.16216,2025-02-28,4.53
39.66172,-121.85271,2025-02-28,4.41
39.68436,-121.85529,2025-02-28,11.91
39.75839,-121.92691,2025-02-28,3.66
39.79499,-122.1359,2025-02-28,6.2
39.79785,-122.12749,2025-02-28,7.76
41.65815,-122.58106,2025-02-28,16.03
41.65837,-122.58128,2025-02-28,14.33
32.06614,-115.03238,2025-02-28,45.79
36.78458,-120.35598,2025-02-28,1.05
37.92796,-120.2822,2025-02-28,1.89
37.93626,-120.28951,2025-02-28,3.33
38.19833,-121.37593,2025-02-28,2.3
38.40343,-121.72507,2025-02-28,4.28
38.4287,-120.4751,2025-02-28,6.9
38.46063,-122.39121,2025-02-28,4.19
38.49509,-122.00798,2025-02-28,6.55
38.51851,-121.89613,2025-02-28,6.7
38.52259,-121.89676,2025-02-28,6.7
38.54729,-122.021,2025-02-28,1.85
38.55046,-122.02412,2025-02-28,4.23
38.55135,-122.02161,2025-02-28,1.85
38.55845,-121.98375,2025-02-28,2.16
38.59548,-122.02667,2025-02-28,4.12
38.59908,-122.03189,2025-02-28,4.12
38.84628,-119.16701,2025-02-28,5.28
38.9115,-122.06837,2025-02-28,41.32
38.94312,-122.04051,2025-02-28,2.95
39.05367,-122.0414,2025-02-28,2.93
39.07622,-122.18749,2025-02-28,2.91
39.15477,-122.26413,2025-02-28,2.27
39.21268,-122.30003,2025-02-28,45.59
39.21671,-122.30073,2025-02-28,40.71
39.24463,-121.66086,2025-02-28,1.71
39.47981,-121.46033,2025-02-28,1.93
39.5164,-122.17249,2025-02-28,33.0
39.52047,-122.17315,2025-02-28,33.0
39.56929,-122.18095,2025-02-28,20.83
39.66049,-121.859,2025-02-28,5.4
39.66463,-121.85966,2025-02-28,5.4
39.6858,-121.85808,2025-02-28,14.96
39.75638,-121.93028,2025-02-28,2.47
39.78632,-122.05586,2025-02-28,1.22
39.7954,-122.13392,2025-02-28,5.48
39.89068,-123.29015,2025-02-28,8.18
39.92624,-123.17843,2025-02-28,15.61
39.92646,-123.1767,2025-02-28,16.3
39.92707,-123.17089,2025-02-28,3.48
